Country,Medals
United States of America,113
People's Republic of China,88
ROC,71
Great Britain,65
Japan,58
Australia,46
Italy,40
Germany,37
Netherlands,36
France,33
Canada,24
Brazil,21
New Zealand,20
Hungary,20
Republic of Korea,20
Ukraine,19
Spain,17
Cuba,15
Poland,14
Switzerland,13
Turkey,13
Chinese Taipei,12
Czech Republic,11
Denmark,11
Kenya,10
Jamaica,9
Sweden,9
Serbia,9
Kazakhstan,8
Georgia,8
Croatia,8
Norway,8
Belgium,7
Islamic Republic of Iran,7
Azerbaijan,7
Belarus,7
India,7
Austria,7
Bulgaria,6
"Hong Kong, China",6
Egypt,6
Slovenia,5
Uzbekistan,5
Dominican Republic,5
Colombia,5
Indonesia,5
Mexico,4
Mongolia,4
Armenia,4
Portugal,4
Ethiopia,4
Slovakia,4
Philippines,4
Venezuela,4
Romania,4
Greece,4
Uganda,4
Israel,4
Ireland,4
South Africa,3
San Marino,3
Argentina,3
Ecuador,3
Kyrgyzstan,3
Qatar,3
Finland,2
Nigeria,2
Malaysia,2
Jordan,2
Bahamas,2
Thailand,2
Latvia,2
Fiji,2
Estonia,2
Tunisia,2
Kosovo,2
Puerto Rico,1
Morocco,1
Bermuda,1
Bahrain,1
Saudi Arabia,1
Lithuania,1
North Macedonia,1
Namibia,1
Turkmenistan,1
Botswana,1
Burkina Faso,1
Côte d'Ivoire,1
Ghana,1
Grenada,1
Kuwait,1
Republic of Moldova,1
Syrian Arab Republic,1
